city,stateID,state,county,zipcode,cityID
New York,NY,New York,Queens,11229,1840034016
New York,NY,New York,Queens,11228,1840034016
New York,NY,New York,Queens,11226,1840034016
New York,NY,New York,Queens,11225,1840034016
New York,NY,New York,Queens,11224,1840034016
New York,NY,New York,Queens,11222,1840034016
New York,NY,New York,Queens,11221,1840034016
New York,NY,New York,Queens,11220,1840034016
New York,NY,New York,Queens,11385,1840034016
New York,NY,New York,Queens,10169,1840034016
New York,NY,New York,Queens,10168,1840034016
New York,NY,New York,Queens,10167,1840034016
New York,NY,New York,Queens,10165,1840034016
New York,NY,New York,Queens,10162,1840034016
New York,NY,New York,Queens,10282,1840034016
New York,NY,New York,Queens,10280,1840034016
New York,NY,New York,Queens,10040,1840034016
New York,NY,New York,Queens,10044,1840034016
New York,NY,New York,Queens,11109,1840034016
New York,NY,New York,Queens,11102,1840034016
New York,NY,New York,Queens,11103,1840034016
New York,NY,New York,Queens,11106,1840034016
New York,NY,New York,Queens,11104,1840034016
New York,NY,New York,Queens,11697,1840034016
New York,NY,New York,Queens,11694,1840034016
New York,NY,New York,Queens,11692,1840034016
New York,NY,New York,Queens,11693,1840034016
New York,NY,New York,Queens,11691,1840034016
New York,NY,New York,Queens,10271,1840034016
New York,NY,New York,Queens,10279,1840034016
New York,NY,New York,Queens,10278,1840034016
New York,NY,New York,Queens,10075,1840034016
New York,NY,New York,Queens,11249,1840034016
New York,NY,New York,Queens,10452,1840034016
New York,NY,New York,Queens,11451,1840034016
New York,NY,New York,Queens,10475,1840034016
New York,NY,New York,Queens,10474,1840034016
New York,NY,New York,Queens,10471,1840034016
New York,NY,New York,Queens,10470,1840034016
New York,NY,New York,Queens,10473,1840034016
New York,NY,New York,Queens,10472,1840034016
New York,NY,New York,Queens,11223,1840034016
New York,NY,New York,Queens,10103,1840034016
New York,NY,New York,Queens,11368,1840034016
New York,NY,New York,Queens,11369,1840034016
New York,NY,New York,Queens,11366,1840034016
New York,NY,New York,Queens,11367,1840034016
New York,NY,New York,Queens,11364,1840034016
New York,NY,New York,Queens,11365,1840034016
New York,NY,New York,Queens,11362,1840034016
New York,NY,New York,Queens,11363,1840034016
New York,NY,New York,Queens,11360,1840034016
New York,NY,New York,Queens,11361,1840034016
New York,NY,New York,Queens,10028,1840034016
New York,NY,New York,Queens,10029,1840034016
New York,NY,New York,Queens,10026,1840034016
New York,NY,New York,Queens,10027,1840034016
New York,NY,New York,Queens,10024,1840034016
New York,NY,New York,Queens,10025,1840034016
New York,NY,New York,Queens,10022,1840034016
New York,NY,New York,Queens,10023,1840034016
New York,NY,New York,Queens,10020,1840034016
New York,NY,New York,Queens,10021,1840034016
New York,NY,New York,Queens,11212,1840034016
New York,NY,New York,Queens,11213,1840034016
New York,NY,New York,Queens,11210,1840034016
New York,NY,New York,Queens,11211,1840034016
New York,NY,New York,Queens,11216,1840034016
New York,NY,New York,Queens,11217,1840034016
New York,NY,New York,Queens,11214,1840034016
New York,NY,New York,Queens,11215,1840034016
New York,NY,New York,Queens,11218,1840034016
New York,NY,New York,Queens,11219,1840034016
New York,NY,New York,Queens,10152,1840034016
New York,NY,New York,Queens,10153,1840034016
New York,NY,New York,Queens,10154,1840034016
New York,NY,New York,Queens,10310,1840034016
New York,NY,New York,Queens,10311,1840034016
New York,NY,New York,Queens,10312,1840034016
New York,NY,New York,Queens,10314,1840034016
New York,NY,New York,Queens,11439,1840034016
New York,NY,New York,Queens,11432,1840034016
New York,NY,New York,Queens,11433,1840034016
New York,NY,New York,Queens,11430,1840034016
New York,NY,New York,Queens,11436,1840034016
New York,NY,New York,Queens,11434,1840034016
New York,NY,New York,Queens,11435,1840034016
New York,NY,New York,Queens,10453,1840034016
New York,NY,New York,Queens,10451,1840034016
New York,NY,New York,Queens,10457,1840034016
New York,NY,New York,Queens,10456,1840034016
New York,NY,New York,Queens,10455,1840034016
New York,NY,New York,Queens,10454,1840034016
New York,NY,New York,Queens,10459,1840034016
New York,NY,New York,Queens,10458,1840034016
New York,NY,New York,Queens,10128,1840034016
New York,NY,New York,Queens,10004,1840034016
New York,NY,New York,Queens,10005,1840034016
New York,NY,New York,Queens,10006,1840034016
New York,NY,New York,Queens,10007,1840034016
New York,NY,New York,Queens,10001,1840034016
New York,NY,New York,Queens,10002,1840034016
New York,NY,New York,Queens,10003,1840034016
New York,NY,New York,Queens,10009,1840034016
New York,NY,New York,Queens,11238,1840034016
New York,NY,New York,Queens,11239,1840034016
New York,NY,New York,Queens,11230,1840034016
New York,NY,New York,Queens,11231,1840034016
New York,NY,New York,Queens,11232,1840034016
New York,NY,New York,Queens,11233,1840034016
New York,NY,New York,Queens,11234,1840034016
New York,NY,New York,Queens,11235,1840034016
New York,NY,New York,Queens,11236,1840034016
New York,NY,New York,Queens,11237,1840034016
New York,NY,New York,Queens,11379,1840034016
New York,NY,New York,Queens,11378,1840034016
New York,NY,New York,Queens,11375,1840034016
New York,NY,New York,Queens,11374,1840034016
New York,NY,New York,Queens,11377,1840034016
New York,NY,New York,Queens,11371,1840034016
New York,NY,New York,Queens,11370,1840034016
New York,NY,New York,Queens,11373,1840034016
New York,NY,New York,Queens,11372,1840034016
New York,NY,New York,Queens,10170,1840034016
New York,NY,New York,Queens,10171,1840034016
New York,NY,New York,Queens,10172,1840034016
New York,NY,New York,Queens,10173,1840034016
New York,NY,New York,Queens,10174,1840034016
New York,NY,New York,Queens,10177,1840034016
New York,NY,New York,Queens,11356,1840034016
New York,NY,New York,Queens,10039,1840034016
New York,NY,New York,Queens,10038,1840034016
New York,NY,New York,Queens,10035,1840034016
New York,NY,New York,Queens,10034,1840034016
New York,NY,New York,Queens,10037,1840034016
New York,NY,New York,Queens,10036,1840034016
New York,NY,New York,Queens,10031,1840034016
New York,NY,New York,Queens,10030,1840034016
New York,NY,New York,Queens,10033,1840034016
New York,NY,New York,Queens,10032,1840034016
